Combination,Mean,Std Dev,CV
0,0,0,#DIV/0!
1,0,0,#DIV/0!
2,0,0,#DIV/0!
3,0,0,#DIV/0!
4,0,0,#DIV/0!
5,0,0,#DIV/0!
6,0,0,#DIV/0!
7,16.25,41.39550096,2.547415444
8,0,0,#DIV/0!
9,0,0,#DIV/0!
10,0,0,#DIV/0!
11,0,0,#DIV/0!
12,0,0,#DIV/0!
13,0,0,#DIV/0!
14,0,0,#DIV/0!
15,9.7,25.86329445,2.666319016
16,0,0,#DIV/0!
17,0,0,#DIV/0!
18,0,0,#DIV/0!
19,0,0,#DIV/0!
20,0,0,#DIV/0!
21,0,0,#DIV/0!
22,0,0,#DIV/0!
23,11.6,20.93657087,1.8048768
24,0,0,#DIV/0!
25,0,0,#DIV/0!
26,0,0,#DIV/0!
27,4.05,17.65354072,4.358898944
28,0,0,#DIV/0!
29,0.2,0.871779789,4.358898944
30,26.2,37.38261628,1.426817415
31,0,0,#DIV/0!
32,0,0,#DIV/0!
33,0,0,#DIV/0!
34,0,0,#DIV/0!
35,0,0,#DIV/0!
36,0,0,#DIV/0!
37,0,0,#DIV/0!
38,4.6,20.05093514,4.358898944
39,30.3,42.07980513,1.388772447
40,0,0,#DIV/0!
41,0,0,#DIV/0!
42,0,0,#DIV/0!
43,6.05,26.37133861,4.358898944
44,0,0,#DIV/0!
45,0,0,#DIV/0!
46,0,0,#DIV/0!
47,0,0,#DIV/0!
48,0,0,#DIV/0!
49,0,0,#DIV/0!
50,0,0,#DIV/0!
51,18.05,33.86218392,1.87602127
52,5.55,17.35648294,3.127294223
53,0.4,1.2,3
54,0,0,#DIV/0!
55,0,0,#DIV/0!
56,16,21.70714168,1.356696355
57,12.55,33.1156685,2.638698685
58,6.95,13.74945453,1.978338782
59,0,0,#DIV/0!
60,15.15,31.29101309,2.065413405
61,0,0,#DIV/0!
62,0,0,#DIV/0!
63,18.5,53.55791258,2.895022302
64,0,0,#DIV/0!
65,0,0,#DIV/0!
66,0,0,#DIV/0!
67,0,0,#DIV/0!
68,0,0,#DIV/0!
69,0,0,#DIV/0!
70,0,0,#DIV/0!
71,0,0,#DIV/0!
72,0,0,#DIV/0!
73,6.2,15.03529182,2.425047067
74,0,0,#DIV/0!
75,9.35,29.72923645,3.179597481
76,0,0,#DIV/0!
77,4.7,20.48682503,4.358898944
78,0,0,#DIV/0!
79,29,40.39801975,1.393035164
80,0,0,#DIV/0!
81,0,0,#DIV/0!
82,0,0,#DIV/0!
83,0,0,#DIV/0!
84,0,0,#DIV/0!
85,0,0,#DIV/0!
86,0,0,#DIV/0!
87,36.95,45.1425243,1.221719196
88,0,0,#DIV/0!
89,35.65,58.60825454,1.64399031
90,24.35,38.91307621,1.598072945
91,0,0,#DIV/0!
92,0,0,#DIV/0!
93,26.35,40.25950198,1.527874838
94,15.55,30.58672097,1.966991703
95,8.25,29.81253931,3.613641128
96,0,0,#DIV/0!
97,0,0,#DIV/0!
98,0,0,#DIV/0!
99,0,0,#DIV/0!
100,0,0,#DIV/0!
101,0,0,#DIV/0!
102,0,0,#DIV/0!
103,3.8,10.50047618,2.763283205
104,0,0,#DIV/0!
105,41.3,58.7265698,1.421950843
106,0,0,#DIV/0!
107,8.8,22.86613216,2.598424109
108,0,0,#DIV/0!
109,0,0,#DIV/0!
110,19.15,27.71330908,1.447170187
111,21.6,32.01468413,1.482161302
112,0,0,#DIV/0!
113,29.1,54.69908592,1.879693674
114,20,39.4550377,1.972751885
115,2.85,8.551461863,3.000512935
116,0,0,#DIV/0!
117,0,0,#DIV/0!
118,18.55,37.0290089,1.996172986
119,0.3,1.307669683,4.358898944
120,7.15,16.3837572,2.291434573
121,27.95,41.46380952,1.483499446
122,43.95,52.48854637,1.194278643
123,0,0,#DIV/0!
124,0,0,#DIV/0!
125,0,0,#DIV/0!
126,0,0,#DIV/0!
127,1.8,7.846018098,4.358898944
128,0,0,#DIV/0!
129,0,0,#DIV/0!
130,0,0,#DIV/0!
131,0,0,#DIV/0!
132,0,0,#DIV/0!
133,0,0,#DIV/0!
134,0,0,#DIV/0!
135,35.05,39.1068728,1.115745301
136,0,0,#DIV/0!
137,0,0,#DIV/0!
138,0,0,#DIV/0!
139,0,0,#DIV/0!
140,0,0,#DIV/0!
141,0,0,#DIV/0!
142,0,0,#DIV/0!
143,5.1,14.44264519,2.831891213
144,0,0,#DIV/0!
145,0,0,#DIV/0!
146,2,6.099180273,3.049590136
147,19.3,35.6343935,1.846341632
148,0,0,#DIV/0!
149,34.1,48.32276896,1.417089999
150,37.2,44.09603157,1.185377193
151,26.9,46.55093984,1.73051821
152,0,0,#DIV/0!
153,12.2,23.93240481,1.961672525
154,15.9,33.47820186,2.105547287
155,0,0,#DIV/0!
156,33,44.6038115,1.351630651
157,10.45,24.18362049,2.314222056
158,41.8,43.27077536,1.035186013
159,0,0,#DIV/0!
160,0,0,#DIV/0!
161,0,0,#DIV/0!
162,0,0,#DIV/0!
163,0,0,#DIV/0!
164,0,0,#DIV/0!
165,0,0,#DIV/0!
166,0,0,#DIV/0!
167,10.6,22.65700775,2.137453561
168,0,0,#DIV/0!
169,0,0,#DIV/0!
170,13.5,32.09750769,2.377593162
171,10.95,27.10253678,2.475117514
172,0,0,#DIV/0!
173,0,0,#DIV/0!
174,9.65,26.75495281,2.77253397
175,24.05,46.12317747,1.917803637
176,0,0,#DIV/0!
177,8,13.39776101,1.674720126
178,25.35,34.77826189,1.371923546
179,14.8,33.17468915,2.24153305
180,6.95,19.6531804,2.827795742
