Combination,Mean,Std Dev,CV
0,0,0,#DIV/0!
1,0,0,#DIV/0!
2,0,0,#DIV/0!
3,0,0,#DIV/0!
4,0,0,#DIV/0!
5,0,0,#DIV/0!
6,0,0,#DIV/0!
7,2.95,3.98089186,1.349454868
8,0,0,#DIV/0!
9,0,0,#DIV/0!
10,0,0,#DIV/0!
11,2,2,1
12,0,0,#DIV/0!
13,0,0,#DIV/0!
14,0,0,#DIV/0!
15,17.95,23.90078451,1.331520028
16,0,0,#DIV/0!
17,0,0,#DIV/0!
18,0,0,#DIV/0!
19,2,2,1
20,0,0,#DIV/0!
21,0,0,#DIV/0!
22,1.6,1.959591794,1.224744871
23,24.9,28.69651547,1.152470501
24,0,0,#DIV/0!
25,0.8,1.6,2
26,1.8,1.989974874,1.105541597
27,1,1.732050808,1.732050808
28,0,0,#DIV/0!
29,0.8,1.6,2
30,17.7,36.15121021,2.042441255
31,0,0,#DIV/0!
32,0,0,#DIV/0!
33,0,0,#DIV/0!
34,0,0,#DIV/0!
35,0,0,#DIV/0!
36,0,0,#DIV/0!
37,0,0,#DIV/0!
38,1,1.732050808,1.732050808
39,28.2,57.42699714,2.036418338
40,0,0,#DIV/0!
41,0,0,#DIV/0!
42,0,0,#DIV/0!
43,1.8,1.989974874,1.105541597
44,0,0,#DIV/0!
45,0,0,#DIV/0!
46,0.8,1.6,2
47,0,0,#DIV/0!
48,0,0,#DIV/0!
49,0,0,#DIV/0!
50,1.8,1.989974874,1.105541597
51,19.75,34.2313818,1.733234522
52,2.15,1.956399755,0.909953374
53,1.85,2.056088519,1.1113992
54,1.6,1.959591794,1.224744871
55,0,0,#DIV/0!
56,9.9,29.23166092,2.952693022
57,10,21.53369453,2.153369453
58,28.45,36.11298243,1.269349119
59,0,0,#DIV/0!
60,23.35,37.85006605,1.620987839
61,0,0,#DIV/0!
62,0,0,#DIV/0!
63,17.45,29.1744323,1.671887238
64,0,0,#DIV/0!
65,0,0,#DIV/0!
66,0,0,#DIV/0!
67,0,0,#DIV/0!
68,0,0,#DIV/0!
69,0,0,#DIV/0!
70,0,0,#DIV/0!
71,3.15,13.73053167,4.358898944
72,0,0,#DIV/0!
73,17.1,35.08689214,2.051865037
74,0,0,#DIV/0!
75,10.85,17.45358129,1.608625004
76,0,0,#DIV/0!
77,0,0,#DIV/0!
78,0,0,#DIV/0!
79,10.15,23.97764584,2.362329639
80,0,0,#DIV/0!
81,0,0,#DIV/0!
82,0,0,#DIV/0!
83,2.4,1.959591794,0.816496581
84,0,0,#DIV/0!
85,1.2,1.833030278,1.527525232
86,0,0,#DIV/0!
87,61.3,46.81783848,0.763749404
88,1.55,1.909842925,1.232156726
89,35.8,40.3256742,1.126415481
90,19.8,25.54133904,1.289966618
91,0,0,#DIV/0!
92,0,0,#DIV/0!
93,58.2,53.12024096,0.912718917
94,12.85,21.43425996,1.668035794
95,13.7,18.92379455,1.381298872
96,0,0,#DIV/0!
97,0,0,#DIV/0!
98,0,0,#DIV/0!
99,0,0,#DIV/0!
100,0,0,#DIV/0!
101,0,0,#DIV/0!
102,1.4,1.907878403,1.362770288
103,8.8,24.32611765,2.764331551
104,0,0,#DIV/0!
105,29.5,30.73190525,1.0417595
106,0,0,#DIV/0!
107,8.75,21.03063242,2.403500848
108,0,0,#DIV/0!
109,0.2,0.871779789,4.358898944
110,3.9,4.459820624,1.14354375
111,60.65,43.31544182,0.714187004
112,0,0,#DIV/0!
113,25.9,35.61586725,1.37513001
114,25,35.57808314,1.423123326
115,3.6,6.80734897,1.890930269
116,0,0,#DIV/0!
117,0,0,#DIV/0!
118,7.75,19.43161084,2.507304625
119,0,0,#DIV/0!
120,40.85,46.45026911,1.137093491
121,28.95,38.41025254,1.326779017
122,29.5,36.73213852,1.245157238
123,0,0,#DIV/0!
124,0,0,#DIV/0!
125,0,0,#DIV/0!
126,0,0,#DIV/0!
127,0,0,#DIV/0!
128,0,0,#DIV/0!
129,0,0,#DIV/0!
130,0,0,#DIV/0!
131,0,0,#DIV/0!
132,0,0,#DIV/0!
133,0,0,#DIV/0!
134,0,0,#DIV/0!
135,26.65,44.79427977,1.680836014
136,0,0,#DIV/0!
137,0,0,#DIV/0!
138,0,0,#DIV/0!
139,1.8,1.989974874,1.105541597
140,0,0,#DIV/0!
141,0,0,#DIV/0!
142,0,0,#DIV/0!
143,2.7,2.984962311,1.105541597
144,0,0,#DIV/0!
145,0,0,#DIV/0!
146,4.95,8.212642693,1.659119736
147,14.2,20.89162512,1.471241205
148,0,0,#DIV/0!
149,19,23.16031088,1.21896373
150,21.4,29.61317274,1.383793119
151,24.8,38.5922272,1.556138193
152,1.2,1.833030278,1.527525232
153,39.75,52.26267789,1.314784349
154,23.35,29.71241323,1.272480224
155,0,0,#DIV/0!
156,51.8,53.88933104,1.040334576
157,7.35,13.1082989,1.783442027
158,53.15,46.46964063,0.874311207
159,0,0,#DIV/0!
160,0,0,#DIV/0!
161,0,0,#DIV/0!
162,0.2,0.871779789,4.358898944
163,0,0,#DIV/0!
164,0,0,#DIV/0!
165,0,0,#DIV/0!
166,0.6,1.428285686,2.380476143
167,16.5,38.1634642,2.312937224
168,0,0,#DIV/0!
169,0,0,#DIV/0!
170,3.25,4.21752297,1.297699375
171,5.5,7.605918748,1.382894318
172,0,0,#DIV/0!
173,0,0,#DIV/0!
174,3.8,3.42928564,0.902443589
175,9.1,12.73538378,1.399492723
176,2,2,1
177,22.85,50.62437654,2.21550882
178,25.45,35.71620781,1.40338734
179,54.25,43.11017861,0.79465767
