Combination,Mean,Std Dev,CV
385,0.0,0.0,0.0
386,0.0,0.0,0.0
387,0.0,0.0,0.0
388,0.0,0.0,0.0
389,0.0,0.0,0.0
390,0.0,0.0,0.0
391,0.0,0.0,0.0
392,0.0,0.0,0.0
393,0.0,0.0,0.0
394,0.0,0.0,0.0
395,0.0,0.0,0.0
396,0.0,0.0,0.0
397,0.45,1.9615045245933034,4.35889797489668
398,0.0,0.0,0.0
399,0.0,0.0,0.0
400,1.0,4.358898943540674,4.358898507650823
401,0.0,0.0,0.0
402,5.25,17.552421485367766,3.343318314483035
403,0.0,0.0,0.0
404,0.0,0.0,0.0
405,0.0,0.0,0.0
406,0.0,0.0,0.0
407,0.0,0.0,0.0
408,0.0,0.0,0.0
409,3.6,10.91512711790385,3.0319796707516344
410,0.3,1.3076696830622023,4.3588974905748445
411,1.3,5.666568626602876,4.35889860824078
412,0.0,0.0,0.0
413,0.0,0.0,0.0
414,0.45,1.3592277219068187,3.0205053774584023
415,0.95,4.14095399636364,4.358898484709255
416,1.7,7.410128204019145,4.358898687134868
417,2.3,10.02546757014355,4.358898754023337
418,1.35,4.05308524460071,3.0022851439794036
419,3.5,10.730796801729124,3.0659418557528397
420,0.0,0.0,0.0
421,0.0,0.0,0.0
422,0.0,0.0,0.0
423,2.1,6.331666447310691,3.0150791170489426
424,0.0,0.0,0.0
425,0.0,0.0,0.0
426,3.65,15.909981143923458,4.358898824118788
427,1.3,4.828043081829324,3.7138790080318635
428,0.0,0.0,0.0
429,1.5,6.5383484153110105,4.35889865294743
430,0.7,3.051229260478472,4.358898320840915
431,4.5,13.533292282367952,3.0073982181395844
432,0.0,0.0,0.0
433,0.0,0.0,0.0
434,0.0,0.0,0.0
435,0.0,0.0,0.0
436,0.0,0.0,0.0
437,0.0,0.0,0.0
438,1.3,5.666568626602876,4.35889860824078
439,0.0,0.0,0.0
440,0.0,0.0,0.0
441,0.2,0.8717797887081346,4.35889676409229
442,0.0,0.0,0.0
443,0.0,0.0,0.0
444,0.0,0.0,0.0
445,1.1,4.794788837894741,4.358898547277168
446,1.4,6.102458520956944,4.358898632190772
447,0.0,0.0,0.0
448,0.0,0.0,0.0
449,0.0,0.0,0.0
450,0.95,4.140953996363639,4.358898484709254
451,0.0,0.0,0.0
452,0.0,0.0,0.0
453,0.0,0.0,0.0
454,0.0,0.0,0.0
455,0.0,0.0,0.0
456,0.0,0.0,0.0
457,0.0,0.0,0.0
458,0.0,0.0,0.0
459,0.0,0.0,0.0
460,0.0,0.0,0.0
461,0.0,0.0,0.0
462,0.1,0.43588989435406733,4.358894584646088
463,2.7,8.31925477431723,3.0812053578506275
464,0.85,2.9201883500897674,3.435515301809691
465,0.0,0.0,0.0
466,0.0,0.0,0.0
467,0.0,0.0,0.0
468,0.0,0.0,0.0
